 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   5.00E+04 1.97E-16 0.00E+00 1.88E-20 0.00E+00 5.10E-17 1.87E-04 9.54E-06 2.40E-06 8.67E-06 1.49E-05 1.43E-10
   3.50E+05 2.78E-15 0.00E+00 3.96E-19 0.00E+00 8.62E-16 1.99E-04 1.11E-05 2.93E-06 1.07E-05 1.80E-05 1.99E-09
   6.50E+05 1.82E-14 0.00E+00 6.25E-18 0.00E+00 6.21E-15 2.10E-04 1.13E-05 3.32E-06 1.22E-05 2.04E-05 1.28E-08
   9.50E+05 7.32E-14 0.00E+00 1.65E-16 0.00E+00 3.23E-14 2.18E-04 1.01E-05 3.64E-06 1.34E-05 2.23E-05 4.82E-08
   1.25E+06 2.52E-13 0.00E+00 2.65E-15 0.00E+00 2.03E-13 2.26E-04 9.24E-06 3.91E-06 1.43E-05 2.40E-05 1.34E-07
   1.55E+06 8.61E-13 0.00E+00 2.10E-14 0.00E+00 1.23E-12 2.33E-04 1.05E-05 4.20E-06 1.53E-05 2.55E-05 3.50E-07
   1.85E+06 3.12E-12 1.23-229 1.25E-13 5.92-229 7.14E-12 2.40E-04 1.55E-05 4.60E-06 1.66E-05 2.70E-05 1.09E-06
   2.15E+06 1.07E-11 1.04-151 6.25E-13 5.00-151 3.93E-11 2.49E-04 2.77E-05 5.34E-06 1.87E-05 2.86E-05 3.63E-06
   2.45E+06 3.12E-11 1.11-101 2.45E-12 5.32-101 1.75E-10 2.60E-04 5.91E-05 6.74E-06 2.17E-05 3.02E-05 1.11E-05
   2.75E+06 7.43E-11 1.42E-69 7.05E-12 6.81E-69 5.74E-10 2.75E-04 1.35E-04 9.35E-06 2.56E-05 3.20E-05 2.92E-05
   3.05E+06 1.48E-10 7.27E-49 1.53E-11 3.49E-48 1.41E-09 3.01E-04 3.24E-04 1.39E-05 3.00E-05 3.38E-05 6.61E-05
   3.35E+06 2.49E-10 1.96E-35 2.69E-11 9.40E-35 2.82E-09 3.58E-04 8.20E-04 2.13E-05 3.40E-05 3.54E-05 1.23E-04
