 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   2.693080771062091E-007
 Standard CH3CL flux =  2.920E+08

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35661E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   7.55E+06 4.72E-08 1.57E-06 1.41E-09 9.35E-08 7.25E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   7.85E+06 4.77E-08 1.91E-06 1.41E-09 1.13E-07 7.43E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   8.15E+06 4.80E-08 2.17E-06 1.42E-09 1.28E-07 7.55E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   8.45E+06 4.82E-08 2.33E-06 1.42E-09 1.38E-07 7.62E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   8.75E+06 4.83E-08 2.43E-06 1.42E-09 1.43E-07 7.65E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   9.05E+06 4.83E-08 2.48E-06 1.42E-09 1.46E-07 7.67E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   9.35E+06 4.83E-08 2.51E-06 1.42E-09 1.48E-07 7.68E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   9.65E+06 4.83E-08 2.52E-06 1.42E-09 1.49E-07 7.69E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04
   9.95E+06 4.83E-08 2.53E-06 1.42E-09 1.49E-07 7.69E-06 7.40E-04 4.04E-03 5.96E-05 4.77E-05 4.18E-05 3.86E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 4.75E-06 5.80E-09 1.88E-06 1.27E-61 3.00E-03 1.12E-05 3.62E-07 1.78E-08 1.34E-06 8.60E-11
   3.50E+05 0.00E+00 6.61E-06 2.15E-08 4.63E-06 3.86E-20 3.44E-03 1.87E-05 1.21E-06 7.42E-08 3.72E-06 7.45E-10
   6.50E+05 0.00E+00 8.32E-06 5.17E-08 9.63E-06 4.87E-11 3.80E-03 2.76E-05 2.60E-06 2.21E-07 6.42E-06 1.42E-07
   9.50E+05 2.29-150 1.03E-05 1.02E-07 1.77E-05 4.22E-09 4.13E-03 4.01E-05 4.64E-06 5.44E-07 9.62E-06 1.03E-08
   1.25E+06 1.49E-87 1.40E-05 1.72E-07 2.89E-05 1.85E-08 4.45E-03 6.25E-05 7.04E-06 9.82E-07 1.39E-05 2.08E-08
   1.55E+06 6.25E-58 2.15E-05 2.52E-07 4.32E-05 5.24E-08 4.71E-03 1.10E-04 9.34E-06 1.44E-06 1.88E-05 3.26E-08
   1.85E+06 5.00E-39 2.93E-05 3.21E-07 5.60E-05 1.12E-07 4.92E-03 1.60E-04 1.08E-05 1.80E-06 2.19E-05 4.34E-08
   2.15E+06 5.99E-27 3.51E-05 3.77E-07 6.60E-05 2.07E-07 5.06E-03 1.98E-04 1.17E-05 2.07E-06 2.36E-05 5.30E-08
   2.45E+06 2.77E-19 3.94E-05 4.27E-07 7.43E-05 3.44E-07 5.16E-03 2.27E-04 1.22E-05 2.29E-06 2.46E-05 6.26E-08
   2.75E+06 1.91E-14 4.23E-05 4.73E-07 8.15E-05 5.26E-07 5.23E-03 2.47E-04 1.26E-05 2.49E-06 2.54E-05 7.26E-08
   3.05E+06 2.17E-11 4.44E-05 5.15E-07 8.78E-05 7.40E-07 5.27E-03 2.62E-04 1.29E-05 2.66E-06 2.61E-05 8.30E-08
