 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.515160117354389E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88067E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   6.50E+05 1.92E-14 0.00E+00 6.51E-18 0.00E+00 6.54E-15 2.10E-04 1.16E-05 3.34E-06 1.23E-05 2.04E-05 1.35E-08
   9.50E+05 7.76E-14 0.00E+00 1.72E-16 0.00E+00 3.39E-14 2.19E-04 1.04E-05 3.66E-06 1.34E-05 2.23E-05 5.11E-08
   1.25E+06 2.66E-13 0.00E+00 2.76E-15 0.00E+00 2.12E-13 2.27E-04 9.55E-06 3.94E-06 1.44E-05 2.40E-05 1.42E-07
   1.55E+06 9.12E-13 0.00E+00 2.20E-14 0.00E+00 1.29E-12 2.33E-04 1.09E-05 4.22E-06 1.54E-05 2.56E-05 3.73E-07
   1.85E+06 3.32E-12 7.48-229 1.32E-13 3.59-228 7.58E-12 2.41E-04 1.63E-05 4.65E-06 1.68E-05 2.71E-05 1.17E-06
   2.15E+06 1.14E-11 3.49-151 6.63E-13 1.67-150 4.18E-11 2.50E-04 2.94E-05 5.42E-06 1.89E-05 2.87E-05 3.92E-06
   2.45E+06 3.31E-11 2.51-101 2.58E-12 1.21-100 1.86E-10 2.61E-04 6.34E-05 6.90E-06 2.20E-05 3.04E-05 1.20E-05
   2.75E+06 7.86E-11 2.49E-69 7.36E-12 1.19E-68 6.00E-10 2.77E-04 1.46E-04 9.68E-06 2.60E-05 3.21E-05 3.16E-05
   3.05E+06 1.55E-10 1.07E-48 1.57E-11 5.12E-48 1.45E-09 3.05E-04 3.58E-04 1.45E-05 3.05E-05 3.40E-05 7.09E-05
   3.35E+06 2.55E-10 2.53E-35 2.72E-11 1.22E-34 2.86E-09 3.66E-04 8.82E-04 2.20E-05 3.43E-05 3.56E-05 1.28E-04
   3.65E+06 3.55E-10 1.06E-26 4.13E-11 5.10E-26 5.05E-09 4.47E-04 1.61E-03 2.99E-05 3.68E-05 3.68E-05 1.82E-04
   3.95E+06 4.51E-10 4.82E-21 5.96E-11 2.32E-20 8.87E-09 5.25E-04 2.30E-03 3.68E-05 3.83E-05 3.76E-05 2.26E-04
   4.25E+06 5.53E-10 3.47E-17 8.50E-11 1.66E-16 1.60E-08 5.92E-04 2.89E-03 4.23E-05 3.93E-05 3.81E-05 2.60E-04
   4.55E+06 6.66E-10 1.43E-14 1.20E-10 6.86E-14 2.90E-08 6.37E-04 3.28E-03 4.60E-05 3.98E-05 3.84E-05 2.82E-04
   4.85E+06 8.05E-10 8.01E-13 1.67E-10 3.85E-12 5.09E-08 6.61E-04 3.48E-03 4.80E-05 4.01E-05 3.86E-05 2.93E-04
   5.15E+06 9.90E-10 1.18E-11 2.26E-10 5.64E-11 9.84E-08 6.71E-04 3.56E-03 4.89E-05 4.02E-05 3.87E-05 2.99E-04
   5.45E+06 1.24E-09 6.96E-11 2.94E-10 3.34E-10 2.33E-07 6.76E-04 3.59E-03 4.94E-05 4.02E-05 3.87E-05 3.03E-04
   5.75E+06 1.56E-09 2.28E-10 3.70E-10 1.09E-09 5.44E-07 6.79E-04 3.59E-03 4.96E-05 4.02E-05 3.87E-05 3.04E-04
   6.05E+06 2.00E-09 5.04E-10 4.52E-10 2.42E-09 1.06E-06 6.82E-04 3.59E-03 4.98E-05 4.03E-05 3.87E-05 3.06E-04
   6.35E+06 2.62E-09 8.54E-10 5.36E-10 4.10E-09 1.71E-06 6.82E-04 3.60E-03 4.99E-05 4.03E-05 3.87E-05 3.06E-04
