 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 2.45E-34 0.00E+00 3.55E-41 0.00E+00 6.55E-36 1.75E-04 6.56E-06 2.36E-06 8.40E-06 1.54E-05 2.08E-28
   3.50E+05 1.35E-28 0.00E+00 1.25E-33 0.00E+00 1.11E-29 1.82E-04 7.70E-06 2.88E-06 1.04E-05 1.85E-05 1.07E-22
   6.50E+05 6.88E-24 0.00E+00 3.81E-28 0.00E+00 1.30E-24 1.87E-04 7.70E-06 3.24E-06 1.19E-05 2.06E-05 5.13E-18
   9.50E+05 2.66E-20 0.00E+00 3.10E-24 0.00E+00 7.57E-21 1.91E-04 6.96E-06 3.49E-06 1.28E-05 2.21E-05 1.91E-14
   1.25E+06 9.63E-18 0.00E+00 1.57E-21 0.00E+00 3.31E-18 1.94E-04 6.34E-06 3.66E-06 1.35E-05 2.30E-05 6.81E-12
   1.55E+06 5.07E-16 0.00E+00 9.46E-20 0.00E+00 1.87E-16 1.96E-04 6.96E-06 3.77E-06 1.39E-05 2.35E-05 3.56E-10
   1.85E+06 8.93E-15 0.00E+00 1.70E-18 0.00E+00 3.30E-15 1.98E-04 8.30E-06 3.90E-06 1.45E-05 2.40E-05 6.27E-09
   2.15E+06 8.58E-14 0.00E+00 2.91E-17 0.00E+00 3.07E-14 2.00E-04 1.14E-05 4.07E-06 1.52E-05 2.44E-05 6.02E-08
   2.45E+06 5.67E-13 0.00E+00 1.12E-15 0.00E+00 2.27E-13 2.03E-04 1.83E-05 4.36E-06 1.62E-05 2.48E-05 3.82E-07
   2.75E+06 2.98E-12 0.00E+00 2.15E-14 0.00E+00 1.78E-12 2.08E-04 3.23E-05 4.85E-06 1.77E-05 2.54E-05 1.82E-06
   3.05E+06 1.23E-11 0.00E+00 1.91E-13 0.00E+00 1.17E-11 2.14E-04 6.24E-05 5.82E-06 1.96E-05 2.61E-05 6.89E-06
   3.35E+06 3.75E-11 3.52-237 9.77E-13 1.69-236 5.90E-11 2.23E-04 1.28E-04 7.72E-06 2.21E-05 2.69E-05 2.07E-05
   3.65E+06 8.38E-11 1.78-157 3.19E-12 8.55-157 2.15E-10 2.38E-04 2.59E-04 1.09E-05 2.47E-05 2.78E-05 4.78E-05
   3.95E+06 1.45E-10 4.66-107 7.26E-12 2.23-106 5.51E-10 2.69E-04 5.36E-04 1.54E-05 2.68E-05 2.86E-05 8.67E-05
   4.25E+06 2.09E-10 1.14E-74 1.29E-11 5.47E-74 1.08E-09 3.26E-04 1.05E-03 2.12E-05 2.84E-05 2.93E-05 1.29E-04
